timestamp_ms,x_e4,xdot_e3,theta_e4,thetadot_e3,u_e3
22285,-1894,-300,30833,3146,-11412
22290,-1910,-300,30802,0,-1918
22295,-1927,-299,30833,0,-2056
22300,-1943,-299,30833,0,-2097
22305,-1958,-299,30865,3146,-11670
22310,-1974,-299,30865,0,-2270
22315,-1989,-300,30865,0,-2308
22320,-2004,-299,30896,0,-2440
22325,-2019,-300,30896,0,-2478
22330,-2032,-300,30896,0,-2512
22335,-2047,-299,30928,0,-2644
22340,-2060,-239,30928,0,-2008
22345,-2074,-300,30959,0,-2809
22350,-2088,-239,30928,0,-2079
22355,-2103,-239,30991,0,-2306
22360,-2119,-359,30959,0,-3589
22365,-2135,-299,30991,0,-3056
22370,-2152,-360,30959,0,-3673
22375,-2170,-360,30959,0,-3719
22380,-2188,-360,30959,0,-3764
22385,-2207,-359,30928,0,-3714
22390,-2224,-360,30959,0,-3854
22395,-2243,-419,30896,0,-4380
22400,-2263,-420,30928,0,-4524
22405,-2283,-420,30865,-3146,5056
22410,-2304,-420,30865,0,-4435
22415,-2324,-479,30833,-3146,4379
22420,-2344,-420,30802,0,-4346
22425,-2364,-360,30802,-3146,5711
22430,-2385,-420,30770,0,-4351
22435,-2405,-360,30770,0,-3733
22440,-2426,-419,30708,-3146,5173
22445,-2447,-360,30708,0,-3648
22450,-2467,-420,30676,0,-4272
22455,-2487,-359,30645,0,-3557
22460,-2508,-479,30613,-3146,4586
22465,-2528,-419,30582,0,-4137
22470,-2547,-420,30582,0,-4186
22475,-2566,-299,30519,0,-2703
22480,-2584,-359,30519,0,-3418
22485,-2602,-299,30487,0,-2699
22490,-2619,-300,30456,0,-2646
22495,-2636,-299,30456,-3146,6750
22500,-2653,-360,30424,0,-3304
22505,-2668,-239,30456,0,-2099
22510,-2683,-299,30393,0,-2616
22515,-2697,-239,30424,0,-2077
22520,-2711,-240,30361,-3146,7517
22525,-2724,-239,30393,0,-2047
22530,-2735,-239,30361,-3146,7456
22535,-2748,-239,30361,0,-2012
22540,-2758,-300,30393,0,-2804
22545,-2768,-239,30361,0,-2063
22550,-2776,-179,30393,0,-1511
22555,-2785,-179,30361,0,-1438
22560,-2793,-120,30393,0,-883
22565,-2800,-180,30393,0,-1570
22570,-2806,-180,30393,0,-1585
22575,-2812,-180,30424,0,-1695
22580,-2817,-120,30424,0,-1040
22585,-2822,-120,30456,0,-1148
22590,-2827,-59,30424,0,-395
22595,-2832,-120,30487,0,-1267
22600,-2835,-60,30487,0,-607
22605,-2839,-59,30487,0,-618
22610,-2844,-60,30519,0,-726
22615,-2848,-119,30519,3146,-10844
22620,-2851,-60,30550,0,-839
22625,-2855,-59,30519,0,-752
22630,-2859,-119,30582,0,-1623
22635,-2863,-120,30550,0,-1537
22640,-2866,0,30582,0,-302
22645,-2870,-120,30582,0,-1650
22650,-2873,-59,30582,0,-989
22655,-2877,-59,30613,0,-1093
22660,-2881,-60,30582,0,-1009
22665,-2884,-59,30645,0,-1207
22670,-2887,-60,30582,0,-1025
22675,-2891,-59,30645,0,-1225
22680,-2895,-59,30582,-3146,8395
22685,-2897,-59,30645,0,-1240
22690,-2901,-120,30613,-3146,7615
22695,-2903,-60,30645,3146,-10694
22700,-2906,-59,30645,-3146,8175
22705,-2908,0,30613,0,-504
22710,-2911,-59,30676,0,-1372
22715,-2914,0,30613,0,-518
22720,-2916,-59,30676,0,-1384
22725,-2918,-59,30613,-3146,8239
22730,-2920,-59,30676,0,-1394
22735,-2922,59,30645,0,34
22740,-2925,-59,30676,3146,-10844
22745,-2925,0,30645,-3146,8796
