timestamp_ms,x_e4,xdot_e3,theta_e4,thetadot_e3,u_e3
83950,-2242,-300,30833,0,-2842
83960,-2272,-359,30833,-3146,5851
83970,-2304,-359,30833,-3146,5772
83980,-2338,-359,30833,-3146,5686
83990,-2374,-360,30833,0,-3844
84000,-2412,-300,30802,0,-3174
84010,-2452,-420,30770,0,-4516
84020,-2491,-420,30708,0,-4424
84030,-2529,-360,30676,0,-3753
84040,-2567,-420,30645,0,-4423
84050,-2604,-360,30613,0,-3751
84060,-2641,-360,30582,0,-3749
84070,-2678,-359,30519,0,-3649
84080,-2712,-359,30487,0,-3640
84090,-2745,-299,30456,0,-2958
84100,-2778,-359,30424,0,-3613
84110,-2806,-299,30393,-3146,6518
84120,-2832,-180,30393,0,-1647
84130,-2855,-239,30393,0,-2373
84140,-2874,-180,30393,0,-1753
84150,-2891,-180,30424,0,-1890
84160,-2905,-120,30424,0,-1257
84170,-2917,-179,30456,0,-2052
84180,-2929,-119,30487,0,-1507
84190,-2940,-119,30519,0,-1630
84200,-2950,-59,30550,0,-1083
84210,-2961,-60,30582,0,-1206
84220,-2973,-119,30582,0,-1905
84230,-2984,-120,30613,3146,-11467
84240,-2995,-120,30613,3146,-11494
84250,-3006,-180,30613,3146,-12192
84260,-3018,-59,30613,0,-1445
84270,-3031,-120,30613,0,-2147
84280,-3042,-120,30613,-3146,7264
84290,-3055,-180,30645,0,-2970
84300,-3068,-59,30613,0,-1570
84310,-3081,-120,30582,0,-2176
84320,-3095,-180,30550,3146,-12223
84330,-3108,-120,30519,0,-2053
84340,-3121,-119,30487,0,-1989
84350,-3131,-120,30487,0,-2014
84360,-3138,-59,30487,-3146,8075
84370,-3144,-60,30519,0,-1473
84380,-3147,-59,30519,0,-1480
84390,-3148,0,30519,0,-814
84400,-3149,0,30519,3146,-10256
84410,-3149,0,30487,0,-721
84420,-3148,59,30487,0,-51
84430,-3148,60,30487,-3146,9389
84440,-3147,0,30519,-3146,8625
84450,-3147,0,30550,0,-908
84460,-3145,0,30550,0,-904
84470,-3144,0,30519,0,-805
84480,-3142,120,30519,0,537
84490,-3141,0,30487,0,-702
84500,-3139,0,30487,0,-697
84510,-3137,0,30487,0,-691
84520,-3134,-59,30487,0,-1353
84530,-3131,59,30456,0,87
84540,-3129,59,30424,0,189
84550,-3125,60,30393,0,294
84560,-3123,0,30361,0,-273
84570,-3118,59,30361,0,407
84580,-3114,60,30330,0,513
84590,-3109,60,30298,0,620
84600,-3106,0,30267,0,55
84610,-3101,119,30204,0,1596
84620,-3096,60,30173,0,1037
84630,-3090,59,30141,0,1145
84640,-3082,120,30110,0,1930
84650,-3075,59,30078,0,1374
84660,-3067,59,30015,0,1585
84670,-3057,180,29952,0,3140
84680,-3047,59,29921,0,1923
84690,-3035,180,29858,-3146,12921
84700,-3017,240,29827,0,4292
84710,-2995,239,29827,0,4348
84720,-2971,239,29827,0,4408
84730,-2943,300,29827,0,5148
84740,-2909,359,29858,3146,-3633
84750,-2870,420,29858,0,6572
84760,-2826,479,29889,0,7255
84770,-2778,539,29952,0,7853
84780,-2724,539,30015,0,7798
84790,-2665,600,30141,0,8234
84800,-2602,599,30236,0,8103
84810,-2537,660,30361,0,8554
84820,-2469,659,30487,0,8341
84830,-2400,719,30613,3146,-635
84840,-2330,719,30739,3146,-843
84850,-2260,660,30833,0,7815
84860,-2190,660,30959,0,7609
84870,-2119,719,31085,3146,-1365
84880,-2049,720,31179,0,7961
84890,-1980,719,31305,0,7753
84900,-1911,720,31400,0,7638
84910,-1843,659,31526,3146,-2681
84920,-1777,660,31620,3146,-2801
84930,-1711,660,31714,0,6515
84940,-1648,660,31809,0,6387
84950,-1587,599,31872,0,5679
84960,-1528,660,31966,0,6211
82970,-754,239,31872,0,3754
82980,-725,299,31903,0,4401
82990,-695,300,31935,0,4381
83000,-665,300,31966,0,4361
83010,-636,300,31997,0,4339
83020,-606,300,32029,0,4317
83030,-578,239,32060,0,3623
83040,-550,300,32092,0,4267
83050,-523,300,32123,0,4238
83060,-498,239,32155,0,3536
83070,-474,239,32186,0,3501
83080,-452,239,32218,0,3461
83090,-432,180,32249,0,2746
83100,-415,179,32249,0,2790
83110,-400,180,32249,0,2828
83120,-388,120,32249,0,2189
83130,-379,60,32249,0,1542
83140,-372,60,32218,0,1655
83150,-367,59,32186,0,1763
83160,-363,0,32186,0,1104
83170,-360,59,32155,0,1876
83180,-357,119,32123,0,2649
83190,-354,0,32123,0,1319
83200,-350,59,32092,0,2092
83210,-348,59,32092,0,2098
83220,-346,0,32060,0,1529
83230,-345,0,32060,0,1531
83240,-344,0,32029,0,1630
83250,-344,0,32029,0,1630
83260,-343,59,31997,0,2396
83270,-342,0,31997,0,1731
83280,-339,59,31997,0,2408
83290,-336,0,32029,3146,-7789
83300,-334,0,32029,0,1654
83310,-334,0,32029,0,1654
83320,-336,0,32029,0,1651
83330,-336,0,32029,0,1649
83340,-337,-59,32029,0,977
83350,-338,0,32060,0,1549
83360,-339,59,32060,0,2215
83370,-340,0,32060,0,1545
83380,-342,-59,32092,0,776
83390,-342,0,32092,0,1443
83400,-344,0,32123,0,1343
83410,-346,-59,32155,0,572
83420,-349,0,32186,0,1138
83430,-353,0,32186,0,1129
83440,-357,0,32218,0,1024
83450,-360,0,32249,0,920
83460,-365,-59,32281,0,143
83470,-370,-60,32312,0,34
83480,-376,-59,32344,0,-74
83490,-382,0,32375,3146,-8955
83500,-388,-60,32407,0,-297
83510,-396,-59,32438,0,-410
83520,-404,-59,32469,0,-527
83530,-413,-119,32501,0,-1314
83540,-423,-60,32564,0,-861
83550,-435,-119,32595,0,-1657
83560,-448,-120,32627,0,-1786
83570,-462,-119,32658,0,-1916
83580,-477,-179,32690,0,-2716
83590,-493,-239,32721,0,-3523
83600,-514,-180,32753,0,-3002
83610,-544,-300,32753,0,-4414
