timestamp_ms,x_e4,xdot_e3,theta_e4,thetadot_e3,u_e3
21062,-2662,120,30204,0,2703
20863,-2782,0,30802,0,-753
20864,-2782,59,30802,0,-82
20865,-2782,0,30802,0,-751
20866,-2782,0,30802,0,-751
20867,-2782,0,30802,0,-751
20868,-2782,0,30802,0,-751
20869,-2781,60,30802,0,-80
20870,-2781,59,30802,0,-79
20871,-2781,-59,30802,0,-1418
20872,-2781,0,30802,0,-750
20873,-2781,0,30770,-3146,8784
20874,-2781,59,30770,0,15
20875,-2781,0,30770,0,-652
20876,-2780,60,30770,0,17
20877,-2780,0,30770,0,-651
20878,-2780,0,30770,0,-651
20879,-2780,0,30770,0,-651
20880,-2779,60,30770,0,19
20881,-2779,0,30770,0,-649
20882,-2779,0,30770,0,-649
20883,-2779,0,30770,0,-649
20884,-2779,0,30770,0,-649
20885,-2779,59,30770,0,20
20886,-2779,-59,30739,-3146,8216
20887,-2779,59,30770,3146,-9418
20888,-2779,0,30739,-3146,8886
20889,-2779,0,30739,0,-552
20890,-2779,0,30739,0,-552
20891,-2779,0,30739,0,-552
20892,-2778,60,30739,0,117
20893,-2778,0,30739,0,-551
20894,-2778,0,30739,0,-551
20895,-2778,0,30739,0,-551
20896,-2778,59,30739,0,119
20897,-2778,0,30739,0,-549
20898,-2778,0,30739,0,-549
20899,-2778,0,30708,-3146,8984
20900,-2778,0,30708,0,-454
20901,-2777,59,30708,0,216
20902,-2777,0,30708,0,-452
20903,-2777,0,30708,0,-452
20904,-2777,0,30708,0,-452
20905,-2777,0,30708,0,-452
20906,-2776,60,30708,0,218
20907,-2776,59,30708,0,219
20908,-2776,-59,30708,0,-1120
20909,-2776,0,30676,-3146,9083
20910,-2776,59,30676,0,314
20911,-2775,59,30676,0,316
20912,-2775,0,30676,0,-352
20913,-2775,0,30676,0,-352
20914,-2775,0,30676,0,-352
20915,-2774,60,30676,0,318
20916,-2774,0,30676,0,-351
20917,-2774,59,30676,0,318
20918,-2774,0,30676,0,-349
20919,-2774,0,30676,0,-349
20920,-2774,0,30676,0,-349
20921,-2773,60,30676,0,321
20922,-2773,0,30645,-3146,9186
20923,-2773,0,30645,0,-252
20924,-2773,59,30645,0,417
20925,-2772,59,30645,0,419
20926,-2772,0,30645,0,-249
20927,-2773,-59,30645,0,-919
20928,-2773,0,30645,0,-251
20929,-2772,59,30645,0,419
20930,-2771,60,30645,0,421
20931,-2771,0,30645,0,-248
20932,-2771,0,30613,-3146,9286
20933,-2771,0,30613,0,-152
20934,-2771,59,30613,0,517
20935,-2770,59,30613,0,519
20936,-2770,0,30613,0,-149
20937,-2770,0,30613,0,-149
20938,-2770,0,30613,0,-149
20939,-2769,120,30613,0,1191
20940,-2769,0,30613,0,-146
20941,-2769,0,30613,0,-146
20942,-2769,0,30582,-3146,9388
20943,-2769,59,30582,0,619
20944,-2769,0,30582,0,-49
20945,-2767,119,30582,0,1291
20946,-2768,-59,30582,0,-716
20947,-2768,0,30582,0,-47
20948,-2767,59,30582,0,622
20949,-2767,60,30582,0,624
20950,-2767,0,30582,0,-44
20951,-2766,59,30550,-3146,10160
20952,-2766,0,30550,0,52
20953,-2766,59,30550,0,722
20954,-2765,60,30550,0,724
20955,-2764,59,30550,0,725
20956,-2765,-59,30550,0,-613
20957,-2764,59,30550,0,725
20958,-2764,59,30550,0,727
20959,-2763,60,30550,0,729
20960,-2763,0,30519,-3146,9594
20961,-2763,59,30519,0,825
20962,-2762,60,30519,0,827
20963,-2761,60,30519,0,829
20964,-2761,0,30519,0,159
20965,-2761,59,30519,0,829
20966,-2760,60,30519,0,832
20967,-2760,59,30519,0,833
20968,-2759,59,30519,0,834
20969,-2759,0,30487,-3146,9700
20970,-2759,0,30487,0,261
20971,-2758,120,30487,0,1602
20972,-2757,59,30487,0,934
20973,-2756,60,30487,0,936
20974,-2756,0,30487,0,267
20975,-2756,0,30487,0,267
20976,-2755,119,30456,-3146,11142
20977,-2754,119,30487,3146,-7827
20978,-2754,0,30456,-3146,9808
20979,-2753,60,30456,0,1039
20980,-2753,59,30456,0,1041
20981,-2752,120,30456,0,1713
20982,-2751,59,30456,0,1045
20983,-2751,0,30456,0,376
20984,-2751,59,30424,-3146,10581
20985,-2749,119,30424,0,1814
20986,-2748,120,30424,0,1817
20987,-2748,59,30424,0,1150
20988,-2747,60,30424,0,1152
20989,-2746,59,30424,0,1153
20990,-2746,59,30424,0,1154
20991,-2745,119,30424,0,1826
20992,-2744,60,30424,0,1159
20993,-2743,119,30424,0,1831
20994,-2742,60,30393,-3146,10698
20995,-2741,119,30393,0,1931
20996,-2740,60,30393,0,1264
20997,-2740,59,30393,0,1265
20998,-2738,120,30393,0,1937
20999,-2738,0,30393,0,599
21000,-2737,119,30393,0,1940
21001,-2737,59,30393,0,1272
21002,-2735,120,30393,0,1945
21003,-2735,59,30393,0,1277
21004,-2734,59,30361,-3146,10813
21005,-2733,120,30361,0,2046
21006,-2733,59,30361,0,1378
21007,-2732,60,30361,0,1380
21008,-2731,119,30361,0,2052
21009,-2730,59,30361,0,1385
21010,-2729,120,30361,0,2057
21011,-2728,59,30361,0,1389
21012,-2727,120,30361,0,2061
21013,-2727,59,30330,-3146,10928
21014,-2726,60,30330,0,1491
21015,-2725,119,30330,0,2163
21016,-2724,120,30330,0,2166
21017,-2723,59,30330,0,1498
21018,-2723,0,30330,0,829
21019,-2722,120,30330,0,2170
21020,-2720,120,30330,0,2173
21021,-2719,119,30330,0,2176
21022,-2719,0,30298,-3146,10373
21023,-2719,59,30298,0,1604
21024,-2717,120,30298,0,2277
21025,-2716,180,30298,0,2950
21026,-2715,59,30267,-3146,11147
21027,-2715,60,30298,3146,-7823
21028,-2714,60,30298,0,1617
21029,-2712,179,30267,-3146,12493
21030,-2712,59,30267,0,1718
21031,-2711,60,30267,0,1720
21032,-2709,180,30267,0,3062
21033,-2708,119,30267,0,2396
21034,-2707,119,30236,-3146,11933
21035,-2706,60,30236,0,1827
21036,-2704,180,30236,0,3170
21037,-2702,180,30236,0,3174
21038,-2701,119,30236,0,2508
21039,-2700,119,30236,0,2511
21040,-2699,120,30236,0,2514
21041,-2697,179,30236,0,3187
21042,-2695,180,30236,0,3192
21043,-2694,120,30236,0,2526
21044,-2693,120,30204,-3146,12064
21045,-2692,119,30204,0,2628
21046,-2689,239,30204,0,3972
21047,-2688,180,30204,0,3307
21048,-2686,120,30204,0,2642
21049,-2684,180,30204,0,3315
21050,-2683,119,30236,3146,-6885
21051,-2681,180,30204,-3146,12761
21052,-2679,239,30204,0,3997
21053,-2678,120,30204,0,2663
21054,-2676,180,30204,0,3336
21055,-2674,180,30204,0,3341
21056,-2673,179,30204,0,3345
21057,-2671,120,30173,-3146,12214
21058,-2670,180,30173,0,3448
21059,-2666,300,30204,3146,-4740
21060,-2665,179,30204,0,3364
21061,-2663,180,30204,0,3369
