timestamp_ms,x_e4,xdot_e3,theta_e4,thetadot_e3,u_e3
136700,-1462,119,31054,0,3133
136710,-1450,119,31054,0,3163
136720,-1437,179,31054,0,3864
136730,-1426,119,31085,0,3128
136740,-1415,119,31054,0,3250
136750,-1403,119,31054,0,3280
136760,-1389,179,31085,0,3890
136770,-1374,180,31085,0,3926
136780,-1360,119,31117,0,3198
136790,-1346,180,31117,0,3901
136800,-1332,179,31117,0,3936
136810,-1318,180,31117,0,3972
136820,-1303,119,31117,0,3341
136830,-1287,180,31148,0,3953
136840,-1272,119,31148,0,3322
136850,-1257,119,31148,0,3361
136860,-1241,119,31148,0,3400
136870,-1226,119,31148,0,3436
136880,-1210,179,31179,0,4050
136890,-1194,180,31179,0,4092
136900,-1178,180,31211,3146,-5402
136910,-1160,180,31211,0,4081
136920,-1141,180,31242,0,4034
136930,-1121,180,31242,0,4082
136940,-1102,179,31274,0,4036
136950,-1083,179,31274,0,4084
136960,-1063,179,31305,0,4036
136970,-1044,119,31337,0,3322
136980,-1022,240,31337,0,4712
136990,-1003,239,31368,0,4666
137000,-983,180,31400,0,3952
137010,-962,180,31431,0,3907
137020,-941,239,31463,0,4535
137030,-919,240,31494,0,4495
137040,-897,179,31526,3146,-5652
137050,-874,239,31557,0,4416
137060,-852,240,31588,0,4375
137070,-831,239,31620,0,4332
137080,-810,180,31651,0,3620
137090,-789,179,31683,0,3577
137100,-768,180,31714,0,3534
137110,-749,180,31746,0,3487
137120,-730,180,31777,0,3440
137130,-711,180,31809,0,3391
137140,-692,180,31840,0,3342
137150,-675,179,31872,0,3290
137160,-660,179,31872,0,3329
137170,-646,119,31903,0,2597
137180,-635,60,31903,0,1956
137190,-626,59,31903,0,1980
137200,-618,60,31903,0,1999
137210,-613,60,31903,0,2013
137220,-610,0,31903,0,1351
137230,-609,-60,31872,0,781
137240,-607,0,31840,-3146,10987
137250,-606,0,31840,0,1551
137260,-606,59,31809,0,2317
137270,-604,0,31809,0,1652
137280,-604,0,31777,0,1747
137290,-602,60,31777,0,2421
137300,-602,0,31777,0,1752
137310,-602,0,31777,3146,-7685
137320,-600,0,31777,3146,-7680
137330,-598,0,31777,3146,-7674
137340,-597,0,31777,3146,-7671
137350,-595,0,31777,3146,-7667
137360,-593,60,31777,0,2443
137370,-593,0,31777,0,1776
137380,-593,0,31777,0,1776
137390,-593,60,31777,0,2443
137400,-594,-60,31777,0,1104
137410,-594,0,31777,0,1773
137420,-594,0,31777,0,1773
137430,-595,60,31809,0,2345
137440,-597,0,31809,0,1671
137450,-597,0,31809,0,1670
137460,-598,0,31840,0,1573
137470,-600,0,31840,0,1568
137480,-600,59,31872,0,2141
137490,-601,0,31872,0,1468
137500,-603,-60,31903,0,699
137510,-605,-59,31903,0,694
137520,-607,-60,31935,0,594
137530,-608,60,31966,0,1834
137540,-610,0,31997,0,1063
137550,-614,-59,32029,3146,-9148
137560,-618,0,32029,0,949
137570,-622,-59,32060,0,174
137580,-626,-60,32092,0,68
137590,-631,-119,32123,0,-708
137600,-635,-60,32155,0,-145
137610,-640,-60,32186,0,-254
137620,-646,-59,32218,0,-364
137630,-652,0,32249,0,194
137640,-660,-119,32281,0,-1258
137650,-667,-119,32312,0,-1373
137660,-676,0,32344,0,-151
137670,-687,-119,32375,0,-1612
137680,-697,-119,32407,0,-1735
137690,-707,-59,32438,0,-1187
137700,-719,-119,32501,0,-2076
137710,-734,-119,32532,0,-2209
137720,-754,-179,32564,0,-3023
137730,-780,-300,32564,3146,-13866
137740,-811,-359,32532,0,-5078
137750,-847,-360,32469,0,-4977
137760,-886,-420,32438,0,-5650
137770,-929,-479,32375,0,-6236
137780,-977,-540,32312,0,-6832
137790,-1027,-540,32218,-3146,2766
137800,-1080,-539,32155,0,-6613
137810,-1135,-599,32060,0,-7134
137820,-1192,-599,31935,-3146,2543
137830,-1250,-540,31840,0,-6083
137840,-1307,-540,31746,0,-5941
137850,-1365,-540,31651,0,-5797
137860,-1422,-600,31557,0,-6324
137870,-1479,-599,31463,0,-6180
137880,-1534,-539,31368,0,-5361
137890,-1587,-479,31305,0,-4635
137900,-1640,-540,31211,0,-5151
137910,-1691,-540,31148,0,-5087
137920,-1740,-479,31085,0,-4348
137930,-1787,-479,31022,-3146,5160
137940,-1834,-479,30991,0,-4299
137950,-1878,-419,30959,0,-3645
137960,-1921,-420,30928,0,-3656
137970,-1961,-419,30896,0,-3663
137980,-2000,-419,30865,0,-3663
137990,-2035,-359,30865,0,-3083
138000,-2068,-300,30865,0,-2497
138010,-2100,-300,30865,0,-2575
138020,-2128,-299,30865,0,-2647
138030,-2155,-239,30896,0,-2140
138040,-2182,-300,30928,3146,-12412
138050,-2209,-300,30928,0,-3040
138060,-2235,-239,30928,0,-2438
138070,-2263,-300,30959,0,-3271
138080,-2292,-300,30959,0,-3344
138090,-2322,-300,30959,0,-3419
138100,-2355,-359,30928,0,-4075
138110,-2388,-299,30928,0,-3489
138120,-2424,-299,30896,0,-3483
138130,-2461,-420,30865,0,-4819
138140,-2497,-420,30802,-3146,4718
138150,-2535,-360,30770,0,-4050
138160,-2573,-299,30708,0,-3285
138170,-2610,-360,30676,0,-3952
138180,-2647,-359,30613,0,-3853
138190,-2681,-359,30582,0,-3844
138200,-2715,-360,30550,0,-3831
138210,-2746,-360,30519,0,-3815
138220,-2776,-239,30487,0,-2455
138230,-2803,-299,30456,0,-3096
138240,-2825,-239,30456,0,-2483
138250,-2844,-179,30456,0,-1862
138260,-2860,-119,30456,0,-1232
138270,-2873,-59,30487,0,-694
138280,-2887,-119,30519,0,-1491
138290,-2900,-180,30550,0,-2289
138300,-2912,-179,30550,0,-2319
138310,-2922,-120,30582,0,-1770
138320,-2931,-120,30613,0,-1890
138330,-2940,-59,30645,3146,-10777
138340,-2950,-59,30645,0,-1363
138350,-2959,-119,30645,0,-2056
138360,-2969,-120,30676,0,-2176
138370,-2980,-120,30708,0,-2298
138380,-2989,-120,30708,0,-2322
138390,-2999,-59,30708,0,-1677
138400,-3009,-60,30708,0,-1703
138410,-3019,-60,30708,0,-1727
138420,-3030,-180,30708,0,-3092
138430,-3037,-59,30708,0,-1774
138440,-3042,0,30708,0,-1115
138450,-3044,0,30739,0,-1217
138460,-3046,-59,30770,0,-1987
138470,-3048,0,30770,0,-1323
138480,-3050,0,30802,3146,-10862
138490,-3052,0,30802,0,-1429
138500,-3057,-60,30802,0,-2109
138510,-3061,-59,30802,0,-2119
138520,-3065,-59,30802,-3146,7308
138530,-3069,-59,30833,0,-2236
138540,-3074,-59,30833,0,-2248
138550,-3078,-59,30833,3146,-11696
138560,-3080,59,30833,3146,-10364
138570,-3083,-59,30802,0,-2175
138580,-3083,0,30802,0,-1507
138590,-3084,0,30802,0,-1509
138600,-3083,0,30802,-3146,7931
138610,-3083,60,30833,0,-934
138620,-3085,-59,30833,0,-2275
138630,-3084,59,30833,0,-935
138640,-3085,0,30833,3146,-11045
138650,-3085,59,30802,0,-841
138660,-3083,0,30802,0,-1507
138670,-3082,0,30802,0,-1504
138680,-3080,59,30802,0,-831
136690,-1475,119,31054,0,3100
