timestamp_ms,x_e4,xdot_e3,theta_e4,thetadot_e3,u_e3
544181,-391,-119,32753,3146,-11458
544182,-392,-60,32753,0,-1352
544183,-394,-179,32753,0,-2694
544184,-395,-119,32753,0,-2028
544185,-396,-119,-32752,3146,-11566
544186,-397,-60,-32752,0,-1460
544187,-398,-179,-32752,0,-2802
544188,-400,-179,-32752,0,-2807
544189,-401,-60,-32752,0,-1470
544190,-403,-179,-32752,0,-2813
544191,-404,-179,-32752,0,-2817
544192,-406,-180,-32752,0,-2822
544193,-407,-119,-32752,0,-2156
544194,-409,-119,-32752,0,-2159
544195,-411,-180,-32720,3146,-12367
544196,-412,-179,-32752,-3146,6601
544197,-414,-179,-32720,3146,-12376
544198,-415,-120,-32720,0,-2271
544199,-417,-179,-32752,-3146,6589
544200,-419,-239,-32752,0,-3524
544201,-421,-180,-32720,3146,-12394
544202,-423,-179,-32752,-3146,6574
544203,-425,-180,-32752,0,-2868
544204,-427,-239,-32720,3146,-13078
544205,-428,-119,-32720,0,-2304
544206,-431,-240,-32720,0,-3648
544207,-433,-239,-32720,0,-3654
544208,-436,-240,-32720,0,-3660
544209,-437,-179,-32720,0,-2996
544210,-440,-240,-32720,0,-3671
544211,-442,-239,-32720,0,-3677
544212,-445,-300,-32720,0,-4353
544213,-447,-179,-32720,0,-3020
544214,-450,-300,-32720,0,-4365
544215,-453,-300,-32720,0,-4373
544216,-455,-239,-32720,0,-3710
544217,-458,-240,-32720,0,-3716
544218,-461,-299,-32720,0,-4392
544219,-464,-300,-32720,0,-4400
544220,-467,-299,-32720,0,-4407
544221,-470,-300,-32720,0,-4415
544222,-473,-300,-32752,-3146,5111
544223,-476,-299,-32752,0,-4334
544224,-479,-300,-32752,0,-4342
544225,-482,-300,-32752,0,-4349
544226,-485,-299,-32752,0,-4357
544227,-488,-360,-32752,0,-5035
544228,-491,-240,-32752,0,-3703
544229,-494,-359,-32752,0,-5050
544230,-497,-300,-32752,0,-4388
544231,-501,-300,-32752,0,-4396
544232,-504,-359,-32752,0,-5074
544233,-508,-360,-32752,0,-5083
544234,-511,-360,-32752,0,-5092
544235,-515,-360,32753,-3146,4432
544236,-518,-359,32753,0,-5014
544237,-522,-360,32753,0,-5024
544238,-525,-300,32753,0,-4362
544239,-529,-420,32753,0,-5711
544240,-533,-359,32753,0,-5051
544241,-536,-360,32753,0,-5060
544242,-540,-360,32753,0,-5069
544243,-544,-420,32753,0,-5748
544244,-549,-420,32721,-3146,3775
544245,-552,-359,32721,0,-5003
544246,-556,-420,32721,0,-5683
544247,-560,-360,32721,0,-5023
544248,-565,-479,32721,0,-6373
544249,-569,-420,32690,-3146,3819
544250,-573,-360,32690,0,-4959
544251,-577,-420,32690,0,-5638
544252,-581,-420,32690,0,-5649
544253,-585,-419,32690,0,-5659
544254,-590,-479,32658,-3146,3193
544255,-594,-420,32658,0,-5586
544256,-598,-360,32658,0,-4926
544257,-602,-420,32658,0,-5606
544258,-607,-479,32658,0,-6287
544259,-611,-479,32658,0,-6299
544260,-616,-420,32627,-3146,3893
544261,-621,-479,32627,0,-6226
544262,-625,-420,32627,0,-5568
544263,-629,-420,32627,0,-5578
544264,-634,-539,32627,0,-6930
544265,-638,-419,32595,-3146,3931
544266,-643,-480,32595,0,-6188
544267,-648,-480,32595,0,-6200
544268,-652,-419,32595,0,-5541
544269,-658,-539,32564,-3146,2641
544270,-663,-480,32564,0,-6140
544271,-667,-480,32564,0,-6152
544272,-672,-419,32564,0,-5494
544273,-677,-539,32532,-3146,2688
544274,-682,-540,32532,0,-6763
544275,-687,-479,32532,0,-6106
544276,-691,-420,32532,0,-5448
544277,-697,-540,32532,0,-6799
544278,-702,-539,32501,-3146,2721
544279,-707,-480,32501,0,-6060
544280,-712,-479,32501,0,-6072
544281,-716,-420,32501,0,-5414
544282,-722,-599,32469,-3146,2098
544283,-727,-480,32469,0,-6015
544284,-732,-539,32469,0,-6697
544285,-737,-480,32469,0,-6040
544286,-742,-539,32438,-3146,2811
544287,-748,-600,32438,0,-7311
544288,-752,-419,32438,0,-5315
544289,-758,-540,32407,-3146,2867
544290,-764,-600,32407,0,-7255
544291,-769,-539,32407,0,-6599
544292,-774,-480,32375,-3146,3591
544293,-779,-539,32375,0,-6529
544294,-785,-540,32375,0,-6543
544295,-790,-540,32375,0,-6556
544296,-796,-539,32344,-3146,2964
544297,-801,-539,32344,0,-6488
544298,-807,-600,32344,0,-7172
544299,-812,-480,32312,-3146,3688
544300,-817,-539,32312,0,-6433
544301,-823,-600,32312,0,-7117
544302,-828,-479,32312,0,-5791
544303,-833,-540,32281,-3146,3060
544304,-840,-600,32281,0,-7062
544305,-845,-599,32281,0,-7077
544306,-850,-420,32249,-3146,4453
544107,-322,0,32532,0,160
544108,-323,-59,32532,0,-510
544109,-324,-119,32532,0,-1182
544110,-325,-119,32532,0,-1185
544111,-326,-59,32532,0,-517
544112,-326,-59,32532,0,-519
544113,-328,-120,32532,0,-1191
544114,-328,-59,32532,0,-523
544115,-329,-59,32532,0,-525
544116,-330,-59,32564,3146,-10061
544117,-331,-119,32564,0,-1294
544118,-331,-59,32532,-3146,8907
544119,-332,-119,32564,3146,-10737
544120,-333,-59,32564,0,-631
544121,-334,-59,32564,0,-632
544122,-335,-119,32564,0,-1304
544123,-336,-119,32564,0,-1308
544124,-337,-59,32564,0,-640
544125,-337,-60,32564,0,-642
544126,-339,-119,32564,0,-1314
544127,-340,-119,32564,0,-1317
544128,-340,-59,32564,0,-649
544129,-341,-59,32595,3146,-10185
544130,-342,-119,32595,0,-1418
544131,-343,-119,32595,0,-1421
544132,-344,-59,32595,0,-754
544133,-345,-119,32595,0,-1426
544134,-346,-119,32595,0,-1429
544135,-347,-60,32595,0,-761
544136,-348,-119,32595,0,-1433
544137,-349,-119,32595,0,-1436
544138,-350,-59,32595,0,-769
544139,-351,-119,32595,0,-1441
544140,-352,-119,32595,0,-1444
544141,-353,-59,32595,0,-776
544142,-353,-59,32627,3146,-10312
544143,-355,-119,32627,0,-1545
544144,-356,-119,32627,0,-1548
544145,-357,-60,32627,0,-881
544146,-358,-119,32627,0,-1553
544147,-358,-59,32627,0,-885
544148,-359,-119,32627,0,-1557
544149,-360,-59,32627,0,-890
544150,-361,-119,32627,0,-1562
544151,-362,-59,32627,0,-894
544152,-363,-119,32658,3146,-11101
