timestamp_ms,x_e4,xdot_e3,theta_e4,thetadot_e3,u_e3
488646,-2744,120,30393,0,1926
488647,-2743,119,30393,0,1928
488648,-2743,0,30361,-3146,10125
488649,-2742,60,30361,0,1357
488650,-2740,180,30361,0,2699
488651,-2739,119,30361,0,2033
488652,-2739,59,30330,-3146,10900
488653,-2739,0,30330,0,792
488654,-2737,120,30361,3146,-7400
488655,-2735,180,30330,-3146,12246
488656,-2734,119,30330,0,2141
488657,-2734,0,30361,3146,-8731
488658,-2734,59,30330,-3146,10912
488659,-2732,180,30330,0,2816
488660,-2731,60,30330,0,1480
488661,-2730,119,30330,0,2151
488662,-2728,180,30298,-3146,12360
488663,-2728,59,30298,0,1584
488664,-2726,120,30298,0,2256
488665,-2725,179,30298,0,2929
488666,-2724,120,30298,0,2264
488667,-2723,59,30330,3146,-7938
488668,-2722,120,30298,-3146,11707
488669,-2721,119,30298,0,2271
488670,-2719,180,30298,0,2945
488671,-2717,120,30298,0,2279
488672,-2716,119,30267,-3146,11816
488673,-2716,59,30267,0,1710
488674,-2714,180,30267,0,3052
488675,-2712,180,30267,0,3057
488676,-2711,120,30267,0,2391
488677,-2710,119,30267,0,2394
488678,-2708,120,30267,0,2397
488679,-2707,119,30267,0,2400
488680,-2705,239,30267,0,3744
488681,-2704,120,30267,0,2409
488682,-2703,119,30267,0,2412
488683,-2701,180,30267,0,3085
488684,-2699,120,30236,-3146,11954
488685,-2698,119,30236,0,2518
488686,-2697,180,30236,0,3192
488687,-2695,119,30236,0,2525
488688,-2694,180,30236,0,3199
488689,-2692,180,30236,0,3204
488690,-2690,120,30236,0,2538
488691,-2689,179,30236,0,3211
488692,-2686,239,30236,0,3886
488693,-2685,120,30236,0,2551
488694,-2683,180,30236,0,3225
488695,-2682,119,30204,-3146,12093
488696,-2680,180,30204,0,3328
488697,-2679,180,30204,0,3332
488698,-2677,180,30204,0,3337
488699,-2675,180,30204,0,3341
488700,-2674,119,30204,0,2675
488701,-2672,180,30204,0,3349
488702,-2670,180,30204,0,3353
488703,-2668,239,30204,0,4028
488704,-2667,119,30204,0,2693
488705,-2665,180,30204,0,3367
488706,-2663,180,30204,0,3371
488707,-2661,180,30173,-3146,12910
488708,-2659,179,30173,0,3476
488709,-2658,180,30173,0,3481
488710,-2656,180,30173,0,3485
488711,-2654,180,30173,0,3490
488712,-2652,180,30173,0,3494
488713,-2650,179,30173,0,3498
488714,-2649,180,30173,0,3503
488715,-2646,239,30173,0,4178
488716,-2644,180,30173,0,3514
488717,-2643,180,30173,0,3518
488718,-2641,180,30173,0,3523
488719,-2638,239,30141,-3146,13732
488720,-2636,180,30141,0,3629
488721,-2635,179,30141,0,3633
488722,-2632,300,30141,0,4979
488723,-2630,179,30141,0,3645
488724,-2628,180,30141,0,3650
488725,-2626,239,30173,3146,-5209
488726,-2623,239,30173,0,4235
488727,-2620,300,30173,0,4912
488728,-2618,180,30141,-3146,13113
488729,-2617,179,30141,0,3678
488730,-2613,360,30141,0,5695
488731,-2611,239,30141,0,4362
488732,-2608,239,30141,0,4368
488733,-2606,239,30141,0,4374
488734,-2604,239,30141,0,4380
488735,-2601,299,30141,0,5057
488736,-2597,300,30141,0,5065
488737,-2595,239,30141,0,4402
488738,-2593,239,30141,0,4408
488739,-2589,360,30141,0,5755
488740,-2586,299,30141,0,5093
488741,-2583,299,30141,0,5101
488742,-2581,239,30141,0,4438
488743,-2578,300,30141,0,5114
488744,-2575,299,30141,0,5122
488745,-2571,360,30141,0,5800
488746,-2569,239,30141,0,4468
488747,-2566,299,30141,0,5144
488748,-2562,360,30141,0,5822
488749,-2559,359,30141,0,5831
488750,-2556,239,30141,0,4499
488751,-2552,360,30141,0,5847
488752,-2550,299,30141,0,5185
488753,-2546,360,30141,0,5863
488754,-2543,299,30141,0,5201
488755,-2539,360,30141,0,5880
488756,-2536,359,30141,0,5888
488757,-2533,300,30141,0,5227
488758,-2529,419,30141,0,6575
488759,-2525,300,30141,0,5245
488760,-2521,420,30173,3146,-2940
488761,-2518,359,30173,0,5838
488762,-2514,360,30173,0,5847
488763,-2511,299,30173,0,5186
488764,-2507,420,30173,0,6534
488765,-2503,420,30173,0,6545
488766,-2499,359,30173,0,5885
488767,-2496,360,30173,0,5894
488768,-2492,360,30173,0,5903
488769,-2488,419,30173,0,6582
488770,-2484,420,30173,0,6593
488771,-2479,420,30204,3146,-2930
488772,-2475,420,30204,0,6518
488773,-2471,360,30204,0,5859
