timestamp_ms,x_e4,xdot_e3,theta_e4,thetadot_e3,u_e3
308633,-1188,599,32249,0,5528
308634,-1181,660,32249,0,6213
308635,-1175,600,32249,0,5559
308636,-1170,539,32249,0,4904
308637,-1163,660,32281,3146,-3275
308638,-1157,540,32281,0,4838
308639,-1152,599,32281,0,5522
308640,-1146,540,32281,0,4867
308641,-1139,660,32312,3146,-3312
308642,-1134,539,32312,0,4801
308643,-1128,600,32312,0,5486
308644,-1123,539,32312,0,4830
308645,-1117,600,32312,0,5514
308646,-1111,540,32344,3146,-4675
308647,-1105,599,32344,0,5447
308648,-1100,480,32344,0,4121
308649,-1095,539,32344,0,4804
308650,-1089,600,32375,3146,-4046
308651,-1084,539,32375,0,4737
308652,-1079,480,32375,0,4080
308653,-1074,539,32375,0,4762
308654,-1068,540,32375,0,4776
308655,-1063,540,32375,0,4789
308456,-2379,479,30267,3146,-2215
308457,-2374,479,30267,0,7235
308458,-2370,480,30267,0,7247
308459,-2365,479,30267,0,7259
308460,-2359,540,30267,0,7941
308461,-2354,540,30298,3146,-1579
308462,-2349,479,30298,0,7202
308463,-2344,479,30298,0,7214
308464,-2340,479,30298,0,7226
308465,-2334,540,30298,0,7909
308466,-2329,540,30330,3146,-1611
308467,-2323,540,30330,0,7841
308468,-2319,479,30298,-3146,16718
308469,-2314,479,30330,3146,-2242
308470,-2308,599,30330,0,8549
308471,-2302,600,30330,0,8564
308472,-2297,479,30361,3146,-2296
308473,-2292,479,30393,3146,-2379
308474,-2287,540,30393,0,7741
308475,-2280,660,30393,0,9096
308476,-2275,540,30393,0,7771
308477,-2270,479,30393,0,7114
308478,-2264,599,30393,0,8467
308479,-2258,599,30393,0,8482
308480,-2252,540,30393,0,7827
308481,-2247,599,30424,3146,-1023
308482,-2241,600,30424,0,8431
308483,-2234,600,30456,3146,-1088
308484,-2229,599,30456,0,8365
308485,-2223,600,30487,3146,-1153
308486,-2217,539,30487,0,7629
308487,-2211,660,30487,0,8984
308488,-2205,600,30487,0,8330
308489,-2199,599,30487,0,8345
308490,-2193,599,30487,0,8360
308491,-2186,660,30487,0,9045
308492,-2180,600,30519,3146,-1142
308493,-2174,599,30550,3146,-1223
308494,-2167,660,30550,0,8901
308495,-2161,659,30582,3146,-616
308496,-2155,600,30582,0,8168
308497,-2148,660,30582,0,8853
308498,-2142,599,30582,0,8199
308499,-2136,660,30613,3146,-649
308500,-2129,660,30613,0,8806
308501,-2122,660,30613,0,8822
308502,-2116,659,30613,0,8839
308503,-2109,660,30645,3146,-678
308504,-2102,720,30645,0,9447
308505,-2095,659,30676,3146,-739
308506,-2089,660,30676,0,8716
308507,-2082,660,30708,3146,-801
308508,-2076,660,30708,0,8653
308509,-2068,719,30708,0,9340
308510,-2062,660,30739,3146,-846
308511,-2055,660,30739,0,8609
308512,-2048,719,30739,0,9296
308513,-2041,660,30739,0,8643
308514,-2034,720,30770,3146,-203
308515,-2027,720,30770,0,9253
308516,-2020,659,30802,3146,-933
308517,-2014,660,30802,0,8521
308518,-2006,720,30833,3146,-325
308519,-1999,779,30833,0,9801
308520,-1992,719,30865,3146,-383
308521,-1985,660,30865,0,8402
308522,-1978,720,30865,0,9090
308523,-1971,660,30865,0,8437
308524,-1963,780,30896,3146,260
308525,-1956,719,30896,0,9048
308526,-1949,719,30928,3146,-468
308527,-1942,660,30928,0,8318
308528,-1935,719,30959,3146,-528
308529,-1928,720,30959,0,8928
308530,-1920,780,30991,3146,82
308531,-1913,660,30991,0,8199
308532,-1906,719,30991,0,8886
308533,-1899,780,31022,3146,40
308534,-1891,720,31022,0,8828
308535,-1884,779,31054,3146,-17
308536,-1877,660,31054,0,8100
308537,-1870,719,31054,0,8787
308538,-1863,720,31085,3146,-729
308539,-1855,720,31085,0,8727
308540,-1848,779,31117,3146,-118
308541,-1840,719,31117,0,8669
308542,-1834,660,31148,3146,-1517
308543,-1826,780,31148,0,9279
308544,-1819,719,31179,3146,-906
308545,-1812,719,31179,0,8550
308546,-1804,719,31179,0,8568
308547,-1797,720,31211,3146,-947
308548,-1790,720,31211,0,8509
308549,-1782,779,31211,0,9197
308550,-1775,719,31242,3146,-987
308551,-1768,720,31242,0,8469
308552,-1760,780,31274,3146,-376
308553,-1753,719,31274,0,8411
308554,-1746,719,31305,3146,-1104
308555,-1738,720,31305,0,8352
308556,-1731,780,31337,3146,-493
308557,-1723,719,31337,0,8294
308558,-1716,719,31337,0,8312
308559,-1709,720,31337,0,8330
308560,-1701,780,31368,3146,-515
308561,-1694,719,31368,0,8272
308562,-1686,780,31400,3146,-573
308563,-1679,719,31400,0,8214
308564,-1671,779,31431,3146,-631
308565,-1663,780,31431,0,8827
308566,-1656,719,31463,3146,-1358
308567,-1649,719,31463,0,8098
308568,-1642,719,31463,0,8116
308569,-1634,780,31494,3146,-729
308570,-1627,719,31494,0,8058
308571,-1619,780,31526,3146,-787
308572,-1612,719,31526,0,8000
308573,-1604,720,31526,0,8018
308574,-1597,779,31557,3146,-827
308575,-1590,720,31557,0,7960
308576,-1582,780,31588,3146,-885
308577,-1575,719,31588,0,7902
308578,-1567,719,31620,3146,-1613
308579,-1559,780,31620,0,8514
308580,-1552,779,31651,3146,-1001
308581,-1545,660,31651,0,7116
308582,-1538,720,31651,0,7803
308583,-1530,780,31683,3146,-1042
308584,-1523,719,31683,0,7745
308585,-1516,719,31683,0,7763
308586,-1508,720,31714,3146,-1752
308587,-1501,780,31714,0,8374
308588,-1494,719,31746,3146,-1810
308589,-1486,719,31746,0,7646
308590,-1479,720,31777,3146,-1870
308591,-1471,780,31777,0,8257
308592,-1464,719,31809,3146,-1928
308593,-1457,719,31809,0,7528
308594,-1450,720,31809,0,7546
308595,-1443,660,31809,0,6894
308596,-1435,780,31840,3146,-1282
308597,-1428,719,31840,0,7505
308598,-1421,719,31872,3146,-2011
308599,-1414,720,31872,0,7445
308600,-1407,719,31903,3146,-2070
308601,-1399,720,31903,0,7386
308602,-1392,719,31935,3146,-2130
308603,-1385,660,31935,0,6656
308604,-1378,719,31935,0,7343
308605,-1371,719,31966,3146,-2173
308606,-1365,660,31966,0,6613
308607,-1357,720,31966,0,7300
308608,-1351,659,31997,3146,-2886
308609,-1344,720,31997,0,7239
308610,-1336,719,32029,3146,-2276
308611,-1330,660,32029,0,6509
308612,-1323,660,32029,0,6526
308613,-1316,719,32060,3146,-2321
308614,-1309,660,32060,0,6465
308615,-1302,720,32060,0,7152
308616,-1296,599,32092,3146,-3705
308617,-1289,660,32092,0,6419
308618,-1282,719,32092,0,7106
308619,-1276,660,32123,3146,-3080
308620,-1269,660,32123,0,6374
308621,-1262,660,32123,0,6391
308622,-1256,660,32155,3146,-3126
308623,-1250,599,32155,0,5658
308624,-1243,660,32155,0,6344
308625,-1237,659,32186,3146,-3173
308626,-1231,600,32186,0,5611
308627,-1224,660,32186,0,6296
308628,-1218,599,32186,0,5642
308629,-1212,660,32218,3146,-3206
308630,-1206,599,32218,0,5578
308631,-1200,600,32218,0,5593
308632,-1194,600,32249,3146,-3925
